stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_08639,08639,CTRA.A5-C.C.MADRID XANADÚ,Avda de los Sauces 1,40.302547454834,-3.92233228683472,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08949,08949,TRILLO-CHARCONES,Calle del Trillo 2,40.2882919311523,-4.00681924819946,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08950,08950,CONSTITUCIÓN-FELIX SERRANO DEL REAL,Calle de la Constitución 166,40.2873077392578,-4.00635766983032,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08951,08951,CAMINO CASARRUBIOS-PºALPARRACHE,Calle   Camino de Casarrubios 19,40.2897300720215,-4.00734615325928,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08952,08952,CAMINO CASARRUBIOS-PLAZA DE TOROS,Calle   Camino de Casarrubios 7,40.2892265319824,-4.00738573074341,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08953,08953,DEHESA MARI MARTÍN-POL.IND.ALPARRACHE I,Ctra   Nacional-V (Madrid-Extremadura) 29700,40.2897605895996,-3.9953351020813,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08954,08954,CONSTITUCIÓN-CTRA.A5,Calle de la Constitución 174,40.2894248962402,-3.99669480323792,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08957,08957,CUESTA DEL ÁGUILA-JACINTO GONZÁLEZ,Ctra de Villamanta 100,40.2874221801758,-4.01875877380371,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08958,08958,AV.CASTILLA-PARQUE SAN SEBASTIÁN,Avda de Castilla 2,40.2874794006348,-4.01931238174438,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08963,08963,BUENAVISTA-AYUNTAMIENTO,Calle   Buenavista 8,40.2908897399902,-4.01598739624023,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08964,08964,BUENAVISTA-PIJORRO,Calle   Buenavista 22,40.2914886474609,-4.01553726196289,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08965,08965,RONDA DE SAN JUAN-PºDE LA ESTACION,Calle de la Ronda de San Juan 1,40.2930870056152,-4.01171398162842,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08966,08966,RONDA DE SAN JUAN-BUENAVISTA,Calle de la Ronda de San Juan 1,40.2928619384766,-4.01178121566772,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11451,11451,SAN ROQUE-GALILEO,Calle   San Roque 2,40.2819519042969,-4.01178312301636,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11551,11551,CTRA.NAVACERRADA-URB.LOS MANZANOS,Ctra de Navacerrada 61,40.2818298339844,-4.02473306655884,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11683,11683,RONDA DE SAN JUAN-RIO TAJO,Calle de la Ronda de San Juan 28,40.2915344238281,-4.0081615447998,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11684,11684,RONDA DE SAN JUAN-RIO TAJO,Calle de la Ronda de San Juan 13,40.2914772033691,-4.00832509994507,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_17596,17596,AV.DOÑA MARIANA DE AUSTRIA-PISCINA,Avda de Doña Mariana de Austria 2,40.2821235656738,-4.01883220672607,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_17597,17597,AV.Dª.MARIANA AUSTRIA-FELIPE II,Avda de Doña Mariana de Austria 2,40.2821502685547,-4.02194976806641,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_17599,17599,AV.DOÑA M.AUSTRIA-ALCÁZAR DE SEGOVIA,Avda de Doña Mariana de Austria SN,40.2823181152344,-4.01441192626953,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_17600,17600,AV.DOÑA M.AUSTRIA-FERNANDO EL ALFARERO,Avda de Doña Mariana de Austria 2,40.2824249267578,-4.01451969146729,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_17605,17605,AV.DOÑA MARIANA DE AUSTRIA-PISCINA,Avda de Doña Mariana de Austria 2,40.2822608947754,-4.01890468597412,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_20938,20938,AV.CASTILLA-CAMPO FÚTBOL,Avda de Castilla SN,40.2835311889648,-4.02290010452271,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_8_20965,20965,AV.Dª.MARIANA AUSTRIA-ANTONIO CELEDONIO,Avda de Doña Mariana de Austria 2,40.2820434570313,-4.02198362350464,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_8_50051,50051,Pº EXTREMADURA-CUATRO VIENTOS,Paseo de Extremadura 8600,40.379566192627,-3.79087591171265,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_607,607,VIRGEN DEL PUERTO-CAMPO DEL MORO,Gta de San Vicente 1,40.4198150634766,-3.71996212005615,A,http://www.crtm.es,0,est_90_18,,0
par_8_07391,07391,MÁRTIRES-LOS POCILLOS,Calle de los Mártires 52,40.2334823608398,-3.99208903312683,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07392,07392,MÁRTIRES-ESPINO,Calle de los Mártires 61,40.2331504821777,-3.99191975593567,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08606,08606,AV.PORTUGAL-JUAN DE OCAÑA,Avda de Portugal 55,40.3249435424805,-3.86997413635254,B2,http://www.crtm.es,0,,Europe/Madrid,2
